acapproject	eligible	date	day	month	year	pplid	pplname	latitude	longitude	distid	distname	provid	provname	altitude	population	logpop	logelev	langcode	language	pashto	neighbors	cdcfamilies	cdcprojects	cdcpercapita	killed	wounded	combined	killeddum	woundeddum	property	incidenttype	airstrike	cfmilop	crossfire	milop	sb	ied	accident	eof	indirect	cfindirect	isafinit	isafresp	talibresp	pre7a	preied7a	post7a	postied7a	preisaf7a	diff7a	diffied7a	pre7b	preied7b	post7b	postied7b	diff7b	diffied7b	pre7c	preied7c	post7c	postied7c	diff7c	diffied7c	pre30a	preied30a	post30a	postied30a	preisaf30a	diff30a	diffied30a	pre30b	preied30b	post30b	postied30b	diff30b	diffied30b	pre30c	preied30c	post30c	postied30c	diff30c	diffied30c	pre90a	preied90a	post90a	postied90a	preisaf90a	diff90a	diffied90a	pre90b	preied90b	post90b	postied90b	diff90b	diffied90b	pre90c	preied90c	post90c	postied90c	diff90c	diffied90c	pre180a	preied180a	post180a	postied180a	preisaf180a	diff180a	diffied180a	pre180b	preied180b	post180b	postied180b	diff180b	diffied180b	pre180c	preied180c	post180c	postied180c	diff180c	diffied180c	pre365a	preied365a	post365a	postied365a	preisaf365a	diff365a	diffied365a	pre365b	preied365b	post365b	postied365b	diff365b	diffied365b	pre365c	preied365c	post365c	postied365c	diff365c	diffied365c	pre730a	preied730a	post730a	postied730a	preisaf730a	diff730a	diffied730a	pre730b	preied730b	post730b	postied730b	diff730b	diffied730b	pre730c	preied730c	post730c	postied730c	diff730c	diffied730c	kabul	pakistan	dcdistkm	basedistkm	km3bases	km5bases	km10bases	fightingseason	dateofincident	incidentmonth	incidentday	incidentyear	rightcensor730sigact	rightcensor730immap	rightcensor365immap	dum2011	dum2012	dum2013	qtr42011	qtr12012	qtr22012	qtr32012	qtr42012	qtr12013	qtr22013	qtr32013	valueia	beneficiaries	aidamount	casualties	totalharm	logneighbors	logdisttobase	logdcdistkm	logroadkm	logaidamount	logcdcpercapita	logbeneficiaries	logvalueia	pre7aplacebo	preisaf7aplacebo	preied7aplacebo	post7aplacebo	postied7aplacebo	diff7aplacebo	pre90aplacebo	preisaf90aplacebo	preied90aplacebo	post90aplacebo	postied90aplacebo	diff90aplacebo	pre180aplacebo	preisaf180aplacebo	preied180aplacebo	post180aplacebo	postied180aplacebo	diff180aplacebo	pre365aplacebo	preisaf365aplacebo	preied365aplacebo	post365aplacebo	postied365placebo	diff365aplacebo	pqtr42008	pqtr12009	pqtr22009	pqtr32009	pqtr42009	pqtr12010	pqtr22010	pqtr32010	incidentlocationrc	rc	north	south	southwest	west	kunar	helmand	kandahar	khost	logar	east	pre7aid	preisaf7aid	preied7aid	post7aid	postied7aid	pre90aid	preisaf90aid	preied90aid	post90aid	postied90aid	pre180aid	preisaf180aid	preied180aid	post180aid	postied180aid	pre365aid	preisaf365aid	preied365aid	post365aid	postied365aid	pre7bid	preied7bid	post7bid	postied7bid	pre90bid	preied90bid	post90bid	postied90bid	pre180bid	preied180bid	post180bid	postied180bid	pre365bid	preied365bid	post365bid	postied365bid	pre7cid	preied7cid	post7cid	postied7cid	pre90cid	preied90cid	post90cid	postied90cid	pre180cid	preied180cid	post180cid	postied180cid	pre365cid	preied365cid	post365cid	postied365cid	timesaid	pre7bplacebo	preisaf7bplacebo	preied7bplacebo	post7bplacebo	postied7bplacebo	pre90bplacebo	preisaf90bplacebo3	preied90bplacebo	post90bplacebo	postied90bplacebo	pre180bplacebo	preisaf180bplacebo	preied180bplacebo	post180bplacebo	postied180bplacebo3	pre365bplacebo	preisaf365bplacebo	preied365bplacebo	post365bplacebo	postied365bplacebo	pre7cplacebo	preisaf7cplacebo	preied7cplacebo	post7cplacebo	postied7cplacebo	pre90cplacebo	preisaf90cplacebo	preied90cplacebo	post90cplacebo	postied90cplacebo	pre180cplacebo	preied180cplacebo	pre365cplacebo	preied365cplacebo
93	1	"3/14/13"	14	3	2013	7398	"DAHI ZOR HULYA"	32.3469	64.7327	2304	"Musa Qala"	23	"Helmand"	1059	2078	7.639161	6.96508	2	"Pashto"	1	16	0	0	0.0	6	1	7	1	1	1	"IED"	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	-1	0	0	0	0	0	0	0	4	0	1	0	0	-3	0	1	0	0	0	-1	0	0	0	0	0	0	0	6	0	10	2	0	4	2	1	0	2	1	1	1	1	0	0	0	-1	0	8	0	22	2	0	14	2	1	0	4	2	3	2	1	0	0	0	-1	0	21	5	27	2	1	6	-3	1	0	6	2	5	2	1	0	0	0	-1	0	33	6	31	4	1	-2	-2	1	0	0	2	-1	2	1	0	0	0	-1	0	0	0	12.72	2917	1	3	7	0	"8/10/12"	8	10	2012	0	1	0	0	1	0	0	0	0	1	0	0	0	0	350.5	20	7010.0	1.9473377	2.0794415	2.7732136	7.9783144	2.5439615	-4.6051702	8.855094	-4.6051702	2.9957323	5.8593607	1	0	0	3	1	2.0	9	0	4	15	4	6.0	19	1	7	19	5	0.0	19	1	7	27	11	8.0	0	0	1	0	0	0	0	0	"South West"	4.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0	0	0	0	0	4	0	3	5	1	10	0	4	9	1	19	0	5	30	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
94	1	"10/22/12"	22	10	2012	35312	"LASHKAR GAH"	31.5818	64.3547	2301	"Lashkar Gah"	23	"Helmand"	771	35900	10.48849	6.647688	2	"Pashto"	1	13	0	0	0.0	0	1	1	0	1	0	"Accident"	0	0	0	0	0	0	1	0	0	0	1	1	0	2	1	0	0	0	-2	-1	0	0	0	0	0	0	0	0	0	0	0	0	6	3	8	2	0	2	-1	0	0	0	0	0	0	0	0	0	0	0	0	16	5	10	2	1	-6	-3	0	0	0	0	0	0	0	0	0	0	0	0	36	9	26	2	1	-10	-7	1	1	0	0	-1	-1	0	0	0	0	0	0	52	14	86	15	2	34	1	3	2	1	1	-2	-1	0	0	0	0	0	0	72	25	174	30	3	102	5	6	3	0	1	-6	-2	0	0	0	0	0	0	0	0	1.05	1227	1	8	8	0	"8/4/12"	8	4	2012	0	1	0	0	1	0	0	0	0	1	0	0	0	0	357.0	7	2499.0	0.0099503305	0.0	2.5657182	7.1123357	0.058268864	2.656055	7.82365	-4.6051702	1.9459101	5.8777356	0	0	0	1	0	1.0	11	2	0	12	2	1.0	15	2	1	15	2	0.0	15	2	1	18	2	3.0	0	0	1	0	0	0	0	0	"South West"	4.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1	0	0	0	0	19	0	4	14	5	29	1	6	23	7	45	1	16	71	14	0	0	0	0	1	1	0	0	3	2	0	0	4	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0
95	1	"2/12/13"	12	2	2013	31065	"SHOR SHARAK LANDI  WIYALA"	31.2794	64.1913	2309	"Nawa-I Barak Zayi"	23	"Helmand"	733	116	4.75359	6.597146	2	"Pashto"	1	16	0	0	0.0	5	8	13	1	1	1	"IED"	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	4	0	4	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	18	6	8	1	0	-10	-5	0	0	0	0	0	0	0	0	0	0	0	0	43	17	15	3	0	-28	-14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17.964	17070	0	0	0	0	"9/21/12"	9	21	2012	0	1	0	0	1	0	0	0	0	1	0	0	0	0	380.19	29	11025.51	2.5657182	2.6390574	2.7732136	9.745078	2.8889263	3.9328055	9.307968	-4.6051702	3.3672957	5.940671	0	0	0	0	0	0.0	0	0	0	0	0	0.0	0	0	0	1	0	1.0	0	0	0	9	2	9.0	1	0	0	0	0	0	0	0	"South West"	4.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0	0	0	0	0	7	0	3	2	0	11	0	4	2	0	29	0	13	8	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
96	1	"1/17/13"	17	1	2013	34192	"YAR MOHAMMMAD KALAY"	31.4073	64.3084	2309	"Nawa-I Barak Zayi"	23	"Helmand"	748	154	5.036952	6.617403	2	"Pashto"	1	39	0	0	0.0	3	0	3	1	0	0	"Airstrike"	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	2	1	0	0	0	0	0	0	0	1	0	3	1	2	1	0	0	2	1	2	1	4	4	1	0	0	-3	-4	2	0	10	2	8	2	2	2	4	3	2	1	16	7	1	0	0	-15	-7	8	0	0	2	-8	2	2	2	4	3	2	1	0	0	3.617	1416	3	3	3	0	"10/14/12"	10	14	2012	0	1	0	0	1	0	0	0	0	0	1	0	0	0	380.15	15	5702.25	1.10194	1.0986123	3.6638181	7.2555985	1.2884059	3.9328055	8.648618	-4.6051702	2.7080503	5.940566	0	0	0	0	0	0.0	1	0	0	6	2	5.0	3	0	0	7	3	4.0	3	0	0	15	5	12.0	0	0	1	0	0	0	0	0	"South West"	4.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0	0	0	3	0	3	0	0	5	0	5	0	0	0	0	0	0	1	0	0	0	2	0	0	0	2	0	8	2	0	0	0	0	0	0	0	0	1	1	2	1	2	2	4	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
97	1	"12/20/12"	20	12	2012	7399	"DAHI ZOR SUFLA"	32.3052	64.7417	2304	"Musa Qala"	23	"Helmand"	1037	1997	7.599401	6.944087	2	"Pashto"	1	14	0	0	0.0	8	2	10	1	1	0	"IED"	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	-1	2	0	0	0	-2	0	0	0	0	0	0	0	2	1	8	3	0	6	2	4	1	2	0	-2	-1	0	0	0	0	0	0	8	3	14	4	0	6	1	5	1	2	0	-3	-1	0	0	0	0	0	0	21	8	14	4	1	-7	-4	5	1	0	0	-5	-1	0	0	0	0	0	0	0	0	18.122	4552	0	2	7	0	"10/31/12"	10	31	2012	0	1	0	0	1	0	0	0	0	0	1	0	0	0	370.43	52	19262.36	2.3035846	2.3025851	2.6397715	8.423325	2.8976784	-4.6051702	9.865909	-4.6051702	3.9512436	5.9146643	0	0	0	0	0	0.0	0	0	0	4	0	4.0	0	0	0	14	1	14.0	0	0	0	25	4	25.0	0	1	0	0	0	0	0	0	"South West"	4.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0	0	0	0	0	2	0	1	0	0	3	0	2	3	1	8	0	3	14	4	0	0	0	0	1	0	2	0	2	1	2	0	3	1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
98	1	"12/16/12"	16	12	2012	5972	"CHOGHAK"	32.0871	64.8538	2312	"Sangin"	23	"Helmand"	902	1343	7.202661	6.804615	2	"Pashto"	1	19	286	2	92.0	0	1	1	0	1	0	"CF Military Operation"	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	4	0	0	3	-1	1	1	0	0	-1	-1	0	0	0	0	0	0	6	1	15	0	0	9	-1	1	1	2	0	1	-1	0	0	0	0	0	0	14	2	31	2	1	17	0	1	1	2	0	1	-1	0	0	0	0	0	0	60	10	87	9	5	27	-1	1	1	4	0	3	-1	0	0	1	1	1	1	196	29	142	20	26	-54	-9	1	1	0	1	-1	0	0	0	2	2	2	2	0	0	1.639	1288	5	9	13	0	"10/28/12"	10	28	2012	0	1	0	0	1	0	0	0	0	0	1	0	0	0	370.43	6	2222.58	0.0099503305	0.0	2.9449651	7.160854	0.5001691	-4.6051702	7.7064285	4.5218973	1.7917595	5.9146643	0	0	0	1	0	1.0	10	0	6	15	1	5.0	12	0	6	49	4	37.0	12	0	6	113	19	101.0	0	0	1	0	0	0	0	0	"South West"	4.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0	0	0	1	0	5	0	0	11	1	16	1	2	21	1	58	6	9	87	8	0	0	0	0	0	0	1	1	0	0	3	1	0	0	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	2	0	0	0	0	4	0	0	0	0	4	0	0	0	0	0	0	1	0	1	0	0	1	1	2	1
99	1	"12/20/12"	20	12	2012	35641	"TAKHTAPUL KELAY"	32.3644	64.7833	2304	"Musa Qala"	23	"Helmand"	1018	1900	7.549609	6.925595	2	"Pashto"	1	19	300	2	147.9333	0	5	5	0	1	1	"IED"	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	1	0	0	-2	-1	0	0	0	0	0	0	0	0	0	0	0	0	9	3	10	1	0	1	-2	0	0	0	0	0	0	0	0	0	0	0	0	21	4	27	4	0	6	0	2	1	0	0	-2	-1	0	0	0	0	0	0	32	4	36	5	1	4	1	2	1	3	0	1	-1	0	0	0	0	0	0	65	12	42	5	1	-23	-7	2	1	0	0	-2	-1	0	0	0	0	0	0	0	0	11.224	708	5	6	7	0	"10/31/12"	10	31	2012	0	1	0	0	1	0	0	0	0	0	1	0	0	0	364.54	21	7655.34	1.6114359	1.7917595	2.9449651	6.562458	2.4189448	-4.6051702	8.94316	4.996829	3.0445225	5.8986363	0	0	0	0	0	0.0	3	0	1	0	0	-3.0	13	2	5	17	4	4.0	25	3	7	51	8	26.0	0	0	0	0	0	1	0	0	"South West"	4.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	2	0	1	0	0	8	0	2	7	2	20	0	2	25	3	28	1	2	41	7	0	0	0	0	2	1	0	0	2	1	0	0	2	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
100	1	"1/20/13"	20	1	2013	35353	"NAHR-E-SARAJ"	31.8273	64.588	2302	"Nahri Sarraj"	23	"Helmand"	828	500	6.214608	6.719013	2	"Pashto"	1	43	0	0	0.0	0	1	1	0	1	0	"Military Operation"	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	11	4	1	10	4	0	0	2	1	2	1	0	0	0	0	0	0	7	1	18	8	3	11	7	0	0	4	3	4	3	0	0	0	0	0	0	21	7	34	10	4	13	3	0	0	9	3	9	3	0	0	0	0	0	0	42	13	86	25	9	44	12	5	3	16	4	11	1	2	2	1	0	-1	-2	99	21	145	34	11	46	13	9	5	0	8	-9	3	2	2	2	1	0	-1	0	0	2.814	4597	0	1	7	0	"11/10/12"	11	10	2012	0	1	0	0	1	0	0	0	0	0	1	0	0	0	380.15	12	4561.8	0.0099503305	0.0	3.7614326	8.433162	1.0381542	4.7243743	8.425475	-4.6051702	2.4849067	5.940566	0	0	0	0	0	0.0	0	0	0	4	0	4.0	1	0	0	12	2	11.0	2	0	1	41	6	39.0	0	0	0	0	0	1	0	0	"South West"	4.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0	0	0	2	0	9	1	3	6	1	33	6	11	24	9	39	7	12	67	19	0	0	0	0	0	0	2	1	2	2	5	3	7	4	16	4	0	0	0	0	0	0	0	0	0	0	0	0	2	2	1	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	5	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
101	1	"12/31/12"	31	12	2012	9637	"GARMA HULYA"	32.0944	64.6612	2306	"Naw Zad"	23	"Helmand"	983	812	6.699501	6.890609	2	"Pashto"	1	12	0	0	0.0	5	1	6	1	1	0	"IED"	0	0	0	0	0	1	0	0	0	0	0	0	1	4	0	2	0	0	-2	0	0	0	0	0	0	0	0	0	0	0	0	0	17	1	8	0	0	-9	-1	0	0	0	0	0	0	0	0	0	0	0	0	67	5	30	2	1	-37	-3	0	0	0	0	0	0	0	0	0	0	0	0	124	6	74	3	2	-50	-3	0	0	0	0	0	0	0	0	0	0	0	0	187	12	162	7	4	-25	-5	0	0	0	0	0	0	0	0	0	0	0	0	246	32	175	9	12	-71	-23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22.992	19353	0	0	0	0	"1/10/12"	1	10	2012	0	0	0	0	1	0	0	1	0	0	0	0	0	0	2190.0	7	15330.0	1.7934247	1.7917595	2.4857397	9.870604	3.1355813	-4.6051702	9.6375675	-4.6051702	1.9459101	7.6916566	0	0	0	0	0	0.0	1	2	0	4	3	3.0	5	2	2	5	3	0.0	6	2	2	18	10	12.0	0	0	0	0	1	0	0	0	"South West"	4.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1	0	0	3	0	37	6	11	28	4	59	7	20	65	5	60	8	20	188	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	2	0	2	0	0	2	0	2	1	1	2	0	2	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
102	1	"12/31/12"	31	12	2012	35312	"LASHKAR GAH"	31.5818	64.3547	2301	"Lashkar Gah"	23	"Helmand"	771	35900	10.48849	6.647688	2	"Pashto"	1	13	0	0	0.0	3	0	3	1	0	0	"CF Military Operation"	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	12	4	16	0	1	4	-4	0	0	0	0	0	0	0	0	0	0	0	0	29	8	38	4	2	9	-4	0	0	0	0	0	0	0	0	0	0	0	0	55	14	85	14	3	30	0	3	2	1	1	-2	-1	0	0	0	0	0	0	76	26	214	34	4	138	8	6	3	0	1	-6	-2	0	0	0	0	0	0	0	0	1.05	1227	1	8	8	0	"11/6/12"	11	6	2012	0	1	0	0	1	0	0	0	0	0	1	0	0	0	365.09	19	6936.71	1.10194	1.0986123	2.5657182	7.1123357	0.058268864	2.656055	8.844584	-4.6051702	2.944439	5.900144	1	0	0	0	0	-1.0	14	1	1	8	1	-6.0	20	2	2	8	1	-12.0	22	2	2	12	1	-10.0	0	0	0	1	0	0	0	0	"South West"	4.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	2	0	0	4	2	15	1	5	10	2	36	1	9	26	2	52	2	14	84	15	0	0	0	0	0	0	0	0	1	1	0	0	3	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
103	1	"12/31/12"	31	12	2012	35540	"MUSA QALEH"	32.3476	64.77	2304	"Musa Qala"	23	"Helmand"	1004	1000	6.907755	6.911747	2	"Pashto"	1	23	0	0	0.0	1	1	2	1	1	0	"IED"	0	0	0	0	0	1	0	0	0	0	0	0	1	3	0	1	1	0	-2	1	0	0	0	0	0	0	0	0	0	0	0	0	8	1	2	2	0	-6	1	0	0	1	0	1	0	0	0	0	0	0	0	21	2	22	6	0	1	4	1	0	9	2	8	2	0	0	0	0	0	0	36	8	55	20	0	19	12	6	2	20	5	14	3	0	0	2	1	2	1	74	18	91	25	2	17	7	9	3	38	5	29	2	1	1	4	3	3	2	111	26	122	26	9	11	0	55	4	0	5	-55	1	1	1	4	3	3	2	0	0	12.879	284	5	7	7	0	"11/8/12"	11	8	2012	0	1	0	0	1	0	0	0	0	0	1	0	0	0	730.18	7	5111.26	0.6981347	0.6931472	3.1359289	5.649009	2.5563743	-4.6051702	8.539203	-4.6051702	1.9459101	6.5932913	0	0	0	0	0	0.0	0	0	0	0	0	0.0	0	0	0	2	0	2.0	0	0	0	16	3	16.0	1	0	0	0	0	0	0	0	"South West"	4.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1	0	0	2	0	15	0	4	14	3	34	0	11	46	10	67	2	18	100	26	0	0	0	0	5	2	1	0	7	2	13	2	12	3	38	5	0	0	0	0	0	0	0	0	1	1	1	0	1	1	3	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
104	1	"1/14/13"	14	1	2013	35360	"NAW ZAD"	32.4037	64.4661	2306	"Naw Zad"	23	"Helmand"	1209	1350	7.20786	7.097549	2	"Pashto"	1	17	0	0	0.0	4	0	4	1	0	1	"IED"	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	13	2	0	12	1	0	0	0	0	0	0	0	0	0	0	0	0	7	2	22	6	2	15	4	0	0	0	0	0	0	0	0	0	0	0	0	20	3	33	12	5	13	9	0	0	3	2	3	2	0	0	0	0	0	0	42	11	70	18	6	28	7	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0.49	794	1	1	2	0	"11/28/12"	11	28	2012	0	1	0	0	1	0	0	0	0	0	1	0	0	0	365.09	24	8762.16	1.3887912	1.609438	2.8338015	6.677096	-0.6931472	-4.6051702	9.078198	-4.6051702	3.1780539	5.900144	3	1	0	0	0	-3.0	13	6	0	21	4	8.0	37	15	7	34	10	-3.0	55	24	11	45	13	-10.0	1	0	0	0	0	0	0	0	"South West"	4.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0	0	0	0	0	4	1	1	4	0	9	2	1	17	4	22	5	4	30	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
105	1	"2/12/13"	12	2	2013	20288	"MIR MANDO MIYAN QALA"	31.8735	64.7315	2302	"Nahri Sarraj"	23	"Helmand"	860	654	6.483108	6.756932	2	"Pashto"	1	22	0	0	0.0	0	0	0	0	0	1	"CF Military Operation"	0	1	0	0	0	0	0	0	0	0	1	1	0	2	0	7	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	10	2	25	0	1	15	-2	2	0	2	0	0	0	0	0	0	0	0	0	25	4	40	1	3	15	-3	3	0	6	1	3	1	0	0	0	0	0	0	43	5	52	4	3	9	-1	6	1	17	3	11	2	0	0	0	0	0	0	128	21	65	4	12	-63	-17	9	4	37	5	28	1	1	1	1	1	0	0	193	27	89	5	23	-104	-22	9	4	0	5	-9	1	1	1	2	2	1	1	0	0	19.885	2045	1	2	4	0	"11/8/12"	11	8	2012	0	1	0	0	1	0	0	0	0	0	1	0	0	0	380.19	11	4182.09	-4.6051702	0.0	3.091497	7.623158	2.9904685	4.7243743	8.338569	-4.6051702	2.3978953	5.940671	0	0	0	0	0	0.0	9	2	1	14	5	5.0	9	2	1	16	6	7.0	9	2	1	22	10	13.0	0	0	1	0	0	0	0	0	"South West"	4.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1	0	0	0	0	20	1	1	23	4	59	6	10	65	5	112	10	17	86	8	0	0	0	0	3	1	3	0	6	4	9	1	6	4	25	3	0	0	0	0	0	0	0	0	1	1	0	0	1	1	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
106	1	"4/10/13"	10	4	2013	36790	"BALOCHAN"	31.6839	64.2535	2308	"Nad Ali"	23	"Helmand"	806	0	7.083388	6.692084	2	"Pashto"	1	0	0	0	0.0	0	1	1	0	1	1	"Accident"	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	7	0	0	-1	0	0	0	1	0	1	0	0	0	0	0	0	0	21	0	16	0	0	-5	0	0	0	1	0	1	0	0	0	0	0	0	0	29	0	24	0	0	-5	0	0	0	2	0	2	0	0	0	0	0	0	0	31	0	36	2	0	5	2	0	0	3	0	3	0	0	0	0	0	0	0	34	0	46	2	0	12	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.291	4326	0	2	8	1	"5/19/12"	5	19	2012	0	1	0	0	1	0	0	0	1	0	0	0	0	0	346.2	6	2077.2	0.0099503305	0.6931472	-4.6051702	8.372401	1.6678954	2.4973292	7.638781	-4.6051702	1.7917595	5.847017	0	0	0	0	0	0.0	7	4	0	0	0	-7.0	7	4	0	1	0	-6.0	7	4	0	45	2	38.0	0	0	1	0	0	0	0	0	"South West"	4.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0	1	0	1	0	0	5	0	3	0	0	38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	1	0	0	2	1	1	0	0	2	1	3	0	2	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
